Achievements Name,実績日本語名,国家タグ,難易度,DLC,達成条件,日本語Wiki補足説明,英語Wiki補足説明,英語Wikiリンク

Around Eurasia in 80 days,八十日間ユーラシア1周,,Hard,NSB,ジブラルタルからシンガポールへの鉄道を持つ。,元ネタはおそらく小説とそれを映画化した「八十日間世界一周(Around the World in eighty Days)」と思われる。,鉄道を接続するには、各州が同一陣営のメンバーによって所有されている必要がある。複数のルートが選択可能である。最も少ない国を通過するルートは、ジブラルタル - スペイン - フランス - ドイツ - ポーランド - ソビエト連邦 - イラン - イギリス領インド - イギリス領ビルマ - サイアム - イギリス領マラヤである。,

Poland Peasant Revolution,ポーランド農民革命,POL,Very Easy,NSB,ポーランドで、農民のストライキによって政府を転覆させる。,,単に「農民ストライキを組織する」という焦点を定め、州を要求する決断とストライキを工場へ拡大する選択肢を取ればよい。わずか数州でも掌握すれば内戦を容易に制することができる。,

"...and you get a canton, everybody gets a canton!",君もカントン、あなたもカントン、皆カントン！,SWI,Medium,BBA,スイスで、24州を領有する。,"cantonとはスイスにおける州を指す言葉。
元ネタは「The Oprah Winfrey Show」というトークショーで、司会者のオプラ・ウィンフリーがスタジオの観客席のみんなに自動車をプレゼントした際の発言。
歓喜する観客たちにオプラが指を指しながら「you get a car!　you get a car!　you get a car!(以下数回繰り返し)everybody gets a car! 」と発言している。
実績画像にも司会者の姿が描かれている。",,"https://hoi4.paradoxwikis.com/%E2%80%A6and_you_get_a_canton,_everybody_gets_a_canton!"

I’m not locked in here with you…,俺がお前らといるんじゃない…,SWI,Medium,BBA,スイスで、ドイツに宣戦布告し勝利する。,"元ネタはDCコミック「ウォッチメン」の映画版(2009年)。
諸事情で刑務所送りにされた過激な自警団員「ロールシャッハ」が、過去自らの手で刑務所送りにした人物に襲われ、それを返り討ちした際のセリフ。
画像の元ネタはかつては山岳救助犬として活躍していたセントバーナード。
首に取り付けられた樽にはラム酒やブランデーといったアルコール度数の高いお酒が入っている。これで体を温めろということ。
なお画像の犬はナイフを咥えており殺意を感じる。",アンシュルス後、フォアアールベルクへの主張を根拠にドイツに対する短期的な戦争目標を正当化できる。連合軍が1～2回の上陸作戦を成功させた後でこれを行えば、防衛ラインに後退して待機するだけで済む。,

Swiss Cheese,スイスチーズ,SWI,Medium,BBA,スイスで、隣接していない州を5つ領有する。,これで地図の見た目は穴空きチーズに。,歴史的に、ファシスト路線を急ぎ、枢軸国に加盟せよ。可能な限り速やかに、ヴィシー・フランスへの宣戦布告を正当化せよ。島嶼は非連続州として扱われる。,

You Shall Not Pass,ここは断じて通さん！,SWI,Easy,BBA,スイスで、「Western Swiss alps」「Eastern Swiss Alps」「Ticino」のいずれも失わずに戦争に勝利する。,元ネタは映画版「ロード・オブ・ザ・リング」三部作の1作目のセリフ。,,https://hoi4.paradoxwikis.com/You_Shall_Not_Pass

The Lion that Roared,吼えるライオン,ETH,Hard,BBA,エチオピアで、陣営に属さずにイタリアに和平を強制し、それをもう一度繰り返す。,当時のエチオピア国旗には「ユダヤの獅子」が使われている。,この実績を達成するには、イタリアを海へ追い込むか、AIが耐えきれず和平を申し出るまで持ちこたえる必要があります。最後に、フォーカス「既成事実」を達成することで戦争を終結させることも可能です。,

The Lion King,ライオン・キング,ETH,Hard,BBA,エチオピアで、元首がハイレ・セラシエの状態で「King of Kings」を宣言し、ケニアとタンザニアを支配する。,元ネタはディズニーのアニメ映画。,,https://hoi4.paradoxwikis.com/The_Lion_King

This time for Africa,ディス・タイム・フォー・アフリカ,ETH,Very Hard,BBA,エチオピアで、アフリカ連合を創設し、アフリカに首都を置く13か国以上を加入させる。,"2010年FIFAワールドカップ南アフリカ大会の公式ソング｢Waka Waka｣の副題。
実績の画像にもこれを歌ったコロンビア生まれの「Shakira Isabel Mebarak Ripoll」らしき人が描かれている。",,https://hoi4.paradoxwikis.com/This_time_for_Africa

Crusader Kings IV,クルセイダーキングス 4,ETH,Very Hard,BBA,エチオピアで、エルサレムを獲得し、そこに首都を移す。,"CKシリーズ実績第4段。
元ネタは本作と同じ開発・発売元の「Crusader Kingsシリーズ」の最新作「IV」…実のところ「IV」はまだ発売されていない。
なんなら「III」が2020年に発売されたばかりである。本物のIVが出るのは遥かに先の事だろう。
エチオピアは古代イスラエルの関係者である、ソロモン王とシバの女王の子、メネリク1世を伝承上の国家の起源としているため、この実績が追加されたのだと思われる。",,https://hoi4.paradoxwikis.com/Crusader_Kings_IV

The Red Sea,紅海,ETH,Hard,BBA,エチオピアで、共産主義となり、紅海沿岸のすべての州を獲得する。,物理的に紅い海を、政治的に赤く染める時が来たのだ。,,https://hoi4.paradoxwikis.com/The_Red_Sea

"Stalin, how many guns does he have?",スターリン、いったい君は銃をいくつ所持しているのかね？,ITA,Hard,BBA,教皇としてソ連を降伏させる,"スタートアップ格言やDLC「NSB」にも存在するスターリンの発言(していない説あり)「ローマ教皇だと、いったい彼は何個師団を有しているのかね？」の立場逆転バージョン。
存在しないと見ていた教皇軍に攻められ降伏しているので1丁も持っていない(はず)。
当時のソビエト陸軍の充足率の悪さを表す「ソ連兵は銃を2人に1丁しか渡していなかった」という言葉があるがこれはデマな模様。
スターリングラードを描いた映画から生まれた風評被害と判断されている。",「聖なるローマ帝国」と「帝国」を達成した後も進め続けよ。ローマ帝国を築いた後には、十分な資源と強力な海軍（和平協定でフランスとイギリスの両方を手に入れよ）を保有しているため、誰も君を止められなくなるだろう。,

"Holy, Roman, and an Empire",神聖であり、ローマであり、帝国でもある,ITA,Hard,BBA,教皇としてローマを復興する。,"フランスの哲学者ヴォルテールの「神聖ローマ帝国、と自らを呼んだ、そしていまだに呼んでいるこの政体はいかなる点においても神聖ではなく、ローマ的でもなく、帝国でもなかった。」が元ネタ。
それを否定するように「神聖であり、ローマであり、帝国でもある」ことを宣言するのだ。
ただしこの言葉は「800年または962年~1806年」と君臨し続けた神聖ローマ帝国衰亡期の18世紀に語られた言葉であるため、単なる「詐称帝国」扱いするのは間違いである。 
とはいえ初期から古代ローマ帝国の継承国の自認しながらローマらしい領土は持たず、帝国と言いながら寄り合い所帯のため強い権力を使えず、ローマ教皇との関係も後期では悪化していたため神聖ともいえない感じでもあったが…。
古代、中世、近代、現代、そして解釈者の住んでる風土で国、宗教に対する感じ方、扱い方が変わるため、神聖ローマ帝国の解釈は難しいのだ。",,"https://hoi4.paradoxwikis.com/Holy,_Roman,_and_an_Empire"

Pizza Time!,ピッツァの時間だよ！,ITA,Hard,BBA,イタリアで、ニューヨーク・シカゴ・ハワイを占領する。,"恐らく元ネタは2004年の映画「スパイダーマン2」。
スパイダーマンであるピーターはアルバイト(ピザ配達)中に人助けを行ったために配達時刻を過ぎ「Pizza Time!」と元気よく渡すも支払いを拒否されてしまう。
だがここはアメリカのニューヨークではなくイタリア、「ピザ」ではなく「ピッツァ」である。忘れないように。",「聖なるローマ帝国」と「帝国」を達成した後も進め続けよ。ローマ帝国を築いた後には、十分な資源と強力な海軍（和平協定でフランスとイギリスの両方を手に入れよ）を保有しているため、誰も君を止められなくなるだろう。,

Collect all the Romes,ローマを網羅,ITA,Hard,BBA,イタリアで、第一のローマを保持し続け、第二・第三のローマを獲得する。,第一のローマは当然ながらイタリアのローマ、第二は東ローマ帝国(ビザンツ)の首都であったコンスタンティノープル(現イスタンブール)、第三はモスクワである。,「聖なるローマ帝国」と「帝国」を達成した後も進め続けよ。ローマ帝国を築いた後には、十分な資源と強力な海軍（和平協定でフランスとイギリスの両方を手に入れよ）を保有しているため、誰も君を止められなくなるだろう。,

"Nothing personal, Adolf",悪いな、アドルフ,ITA,Easy,BBA,1945年以前にイタリアで、アンシュルス前にオーストリアを獲得し、ファシストのドイツと同じ陣営に属さない。,"この領土はイタリア用なんだ 
知っての通りアドルフ・ヒトラーの出身国はオーストリアである。 おめぇの祖国ねぇから!と言いたくなるが「Nothing personal」は「個人的な恨みではない、悪く思わないでほしい。」を意味する。",オーストリアに対してできるだけ早く戦争目的を正当化せよ。彼らの軍隊は実に弱く、併合した後はドイツが決して攻撃してこない。1945年まで待てば実績が解除される。,

Not today,だが今日じゃない,ITA,Very Easy,BBA,コミュニスト・イタリアで、死の淵からアントニオ・グラムシを救い、イタリアの指導者にした後でNF「アヴェニーレの太陽」を達成し、国名を「イタリア社会主義共和国」に変更する。,,共産主義のフォーカスツリーを、「アヴェニーレの太陽」に向けてひたすら急いで進め。,

This time it will stick,今度こそ定着させる,,Easy,BBA,連合国のいずれか（民主主義イギリスと同じ陣営）で、ドイツに和平を強制し、ラインラントを武装解除して非武装地帯化する。,元ネタはゲームで何度でも見かけるラインラント進駐の原因である「ロカルノ条約」。,注：ラインラント州およびモーゼルラント州の非武装化を要求する。,

By Beer Alone,ビールだけで,GER,Medium,BBA,ドイツで、「Budweis」「青島」「Guinness」を直接支配するか、陣営の構成国を通じて支配する。,"今回のDLCである「By Blood Alone」のセルフパロディ第一弾。
どれも有名なビール製造会社である。そしてドイツはビールで有名な国である。
なお｢バドワイザー｣はアメリカのミズーリ州にある会社だが、実績に必要なのは社名の由来になった地名があるボヘミアなので注意。他のふたつは発祥地である青島とレンスターを確保すれば良い。",,https://hoi4.paradoxwikis.com/By_Beer_Alone

By merit alone,手柄だけで,,Hard,BBA,師団長を将軍に昇進させ、最高レベルにする。,今回のDLCである「By Blood Alone」のセルフパロディ第二弾。,注：師団を直接指揮する将軍や元帥は、軍を指揮する元帥よりもはるかに早く経験値を獲得します。「戦いの叫び」または「目覚めし怒り」の実行中に「孫子の再誕」と併用可能です。あるいは「聖なるローマ帝国」と併用することも可能です。,

Snakes on a plane,飛行機に乗った蛇,BRA,Easy,BBA,ブラジルで、空挺師団を使ってローマを占領する。,"WW2におけるイタリア戦線にて連合国側で戦ったブラジル遠征軍の記章はヘビである。
このことが反映された実績であることが窺える。
ただしこの時の遠征軍は空挺しておらず、そもそも空挺部隊もいなかった。
元々ブラジルはWW2に参戦するつもりはなく「蛇が煙草を吸ったら参戦する」とヴァルガス大統領は語っていたが最終的に参戦、マークにタバコを吸う蛇を使用している。",歴史的なシナリオでは、連合国に加入せよ。輸送機工場を設置し、空挺部隊を訓練せよ。重点分野と技術開発、さらに通常兵力の増強により特殊部隊の上限を引き上げよ。連合国がイタリアに侵攻し、ある程度進撃したら、連合国の制空権を利用してローマ周辺に空挺部隊を投入せよ。,

Sapmi united by the fire,サーミ、炎に包まれた団結,Sapmi,Medium,AAT,サーミとしてプレイし、すべての中核州を所有し、支配する。,"サーミは初めから存在せず、中核州がノルウェー、スウェーデン、フィンランドにまたがっており開放する必要がある。
実績画像に使われているものは、サーミ族伝統の白樺のコブをくり抜いて作られる手作りのマグカップ。",,https://hoi4.paradoxwikis.com/Sapmi_united_by_the_fire

Norway Jose,まっぴらごめんさ,NOR,Hard,AAT,ノルウェープレイで、メキシコの全中核州を所有し、支配する。,元となる言葉は「No Way Jose」強い否定である「No Way」に「Jose」を付け加えることで茶化した印象を与える。,,https://hoi4.paradoxwikis.com/Norway_Jose

Pinot Noirway,ピノ・ノワウェー,NOR,Medium,AAT,ノルウェープレイで、ブルゴーニュ州を所有し、支配する。,高級赤ワインに使われるブドウ、ピノ・ノワール(Pinot noir)が元ネタ。,,https://hoi4.paradoxwikis.com/Pinot_Noirway

Cheese your fighter.,チーズの戦い,NOR,Very Hard,AAT,ペーデル・ヤールスバーグを国家元首とするノルウェーで、テレマルク(ノルウェー)、グロスタシャー(イギリス)、ノルマンディー(フランス)、ロンバルディア(イタリア)、ホラント(オランダ)を所有する。,"ペーデルは中道ルートに進めば勝手に選ばれる。
占領すべき土地はすべてチーズの名産地である。",,https://hoi4.paradoxwikis.com/Cheese_your_fighter.

Med plutonium 2,プルトニウムで 2,DEN,Easy,AAT,デンマークでスウェーデンの中核州に核を落とす。,Hoi4発売(2016年)からある実績の反対版。,ファシストに転向し、第二次世界大戦が始まる前に枢軸国に加入せよ。核兵器、戦闘機、戦略爆撃機を揃えるまで全編を戦い抜くか、あるいは『ザ・ダネルー』に寄り道するのもよい。,

Everything is awesome.,すべてはサイコー,DEN,Easy,AAT,デンマークで降伏せず傀儡国にもならず、1941年1月1日以降に福祉の投資を最大にする。,"LEGOはデンマーク生まれであり、実績名は映画化した「LEGO ムービー」の主題歌そのもの。
実績画像もLEGO化したデンマーク首相トーヴァル・スタウニング。",ファシストに転向し、ドイツの侵略から身を守るために枢軸国に加盟せよ。繰り返し勢力均衡の決断を下し、福祉側へ押し進めよ。また顧問を雇い／解雇し、勢力均衡に影響を与えよ。,

The Danelaw,デーンロウ,DEN,Medium,AAT,デンマークでイギリスを征服する。,9世紀後半以来ヴァイキングの支配下に置かれたイングランド東部地域を意味する,,https://hoi4.paradoxwikis.com/The_Danelaw

Vinland,ヴィンランド,ICE,Easy,AAT,アイスランドでニューファンドランドを征服する。,海賊であるヴァイキング(実際はもっと穏健だったそうだが)、が築いた北米大陸の入植地。ニューファンドランド島にあっとされる。,ファシストか共産主義かを選択し、少数の軍隊と安価な潜水艦を建造するための兵力の確保に注力せよ。米国がニューファンドランドを焦点で獲得した場合、通常は1個師団で港を駐屯させる。いずれにせよ、海上侵攻を計画せよ。宣戦布告し、ただ待機する。いずれ侵攻が開始される。,

Brexit,ブレグジット,ICE,Very Easy,AAT,共産主義のアイスランドで、ウェールズ、スコットランド、北アイルランドに蜂起を起こさせる。,"NF「ブリテン諸島への潜入」で解禁されるディシジョンで達成可能。
みなさんご存じイギリスの欧州連合離脱を指す「British」と「exit」の混成語。
イギリスが孤立するのではなく、構成国が孤立するのだ。","共産主義路線を進み、イギリス諸島に浸透せよ。
スパイを用いて共産主義支持率を15％まで高めるか、あるいは歴史的経緯を無視して英国が共産主義化することを期待せよ。
デンマークは「王冠との決別」の焦点を奪取した際に宣戦布告する可能性があるが、海軍による侵攻は稀であるため問題とはならない。
焦点を奪取したら、ウェールズ、スコットランド、北アイルランドでの反乱決定権を得るため、政治力を温存せよ。",

Two Arms Against Tyranny.,専制政治に対抗する2つの武器,FIN,Medium,AAT,フィンランドで他の北欧諸国と陣営を組み、陣営に所属する国が2か国のみの状態でソビエト連邦を降伏させる。,タイトル回収,ウラル語族連邦ガイドに従ってください。最も重要なのは、スカンジナビアを統一した後、派閥を解散したり枢軸国に加入したりせず、代わりにアイスランドを傀儡国家として解放することです。はい、アイスランドはカウントされます。彼らから得られる産業は決して多くありません。あるいは、サーミ地方を解放することも可能です。,

Uralic brothers united,ウラル語族連邦,FIN,Hard,AAT,フィンランドで、ハンガリー、エストニア、サーミ、カレリア、マリ・エル、ウドムルト、コミ、オスチャーク・ヴォグル、ヤマロ、ネネツを傀儡国とする。,Uralicとはウラル語族を指し、フィン・ウゴル語派(サーミ語、フィンランド語、エストニア語など)、サモエード語派(ネネツ語など)が存在する。,,https://hoi4.paradoxwikis.com/Uralic_brothers_united

Lone Wolf,一匹狼,FIN,Hard,AAT,フィンランドで大フィンランドを形成し、陣営に参加することなく全中核州と請求権のある州を所有する。,,,https://hoi4.paradoxwikis.com/Lone_Wolf

No one crosses the finnish line,誰にも国境線を越えさせない,FIN,Very Hard,AAT,フィンランドで1944年9月19までに、ソ連が共産主義のままでフィンランドがファシストでも共産主義でもない状態で、中核州を失わないこと。,"日付は継続戦争の終戦日である。
ゴールを意味する「Finish Line」とフィンランドを表す「Finnish」を指している。
終""戦""まで国境""線""を超えないられようにすればよいいのである。",,https://hoi4.paradoxwikis.com/No_one_crosses_the_finnish_line

Danzig queen,ダンツィヒ・クイーン,SWE,Medium,AAT,スウェーデンで、ダンツィヒを所有する。,スウェーデンの楽曲グループ、ABBAの代表曲の一つ「Dancing Queen」と「Danzig」を掛けている。,,https://hoi4.paradoxwikis.com/Danzig_queen

Caramelldansen,キャラメルダンセン,SWE,Hard,AAT,スウェーデンで日本を傀儡国にする。,"ｳｯｰｳｯｰｳﾏｳﾏ(ﾟ∀ﾟ)
元ネタはスウェーデンの音楽グループ「キャラメル」の曲「Caramelldansen」。
日本では空耳がネタとなりMAD動画が作られ、採取的にキャラメル側が逆輸入している。
実績画像はMAD動画のようにAnime化されたペール・アルビン・ハンソン首相と昭和天皇。
ｳｯｰｳｯｰｳﾏｳﾏ(ﾟ∀ﾟ)",,https://hoi4.paradoxwikis.com/Caramelldansen

The return of the king,王の帰還,SWE,Medium,AAT,追放されたゴットランド王として、スウェーデン本土を奪還する。,"スウェーデンの安定度が50%未満、共産主義への支持率が35%以上、スウェーデン与党が共産主義ではない、ソ連が存在する、以上の条件を満たすとスウェーデン内戦が発生。
後のイベントでゴットランドに退避することを進められ、受け入れた後にスウェーデンを奪還すると達成可能。
実績名は「ロード・オブ・ザ・リングシリーズ三部作」の第3作目と同じ名前。",,https://hoi4.paradoxwikis.com/The_return_of_the_king

Satisfactory,サティスファクトリー,,Very Easy,AAT,MIOを各カテゴリーに最低1つはレベル10以上にする。,"元ネタは実績名と同じ商品を売り出すスウェーデンのビデオゲーム会社(パラド社とは無関係)の工場建設シミュレーションゲーム。
オープンワールドを駆け巡り建設と自動化を進めてゆく。","各カテゴリーのMIOをレベル11以上に上げる必要があります。

次の段階（資金）への進捗は、該当するMIOを研究に割り当てて研究を行うか、または割り当てられたMIOで装備を生産することで得られます。米国は経済力と研究能力に優れているため、米国で行うのが最適です。",

Cod wars,タラ戦争,ICE,Very Hard,AAT,アイスランドで、イギリスを降伏させる。,"元ネタは1958年から1976年にかけて起きた、アイスランドと主にイギリスとの間の一連の漁業権をめぐる争い。
最終的には軍隊が出動し断交まで至っている。勝者はアイスランド、国交も回復している。",,https://hoi4.paradoxwikis.com/Cod_wars

The Magic School Bus,マジック・スクール・バス,SWE,Easy,AAT,スウェーデンでNF「ペール・アルビン・ハンソンバス」で入手可能な師団を、19日以内に南アフリカのケープタウンに到着させる。,"元ネタは同名の絵本、アニメ化もしている。
不思議なスクールバスに子どもたちを乗せて太陽系や恐竜時代など様々なところへ連れて行く作品。",,https://hoi4.paradoxwikis.com/The_Magic_School_Bus

Rumble in the Jungle,ジャングルの決闘,BOL / CHL / COL / ECU / PEL / VEN / BRA / ARG / PAR / URG,Hard,ToA,南米の国家でアマゾンの全州を所有する。,元ネタはボクサーであるジョージ・フォアマンとモハメド・アリが対戦した、プロボクシングWBA・WBC世界統一ヘビー級タイトルマッチ。,『ラメント・ボリビアーノ』に続き、ボリビアを正当化し征服せよ。貴軍の軍勢は、その任務を遂行するのに十分な強大さと規模を備えているはずだ。,

And the snake smoked,そして蛇は煙草を吸った,BRA,Easy,ToA,ブラジルで連合国に加盟、ベルリンを占領しドイツを降伏させる。,BBAの実績にもある通り、ブラジル遠征軍に関するネタ。,ドイツがその陣営における最後の主要国である場合、ドイツを降伏させると戦争が終了し、達成条件は発動しない。バルカン軸国の一国が主要国になる場合を除き、イタリアより先にドイツを降伏させることを推奨する。イギリスを含む陣営は全て「連合国」とみなされる。,

Red Hot Chile Peppers,レッド・ホット・チリ・ペッパーズ,CHL,Hard,ToA,共産主義チリとしてカリフォルニアを支配する。,"元ネタはアメリカ、カリフォルニア州のロックバンド「RED HOT ""CHILI"" PEPPERS」。",チリ帝国と同時進行で可能。,

Bad Ending - The whole world is now Brazil,バッド・エンディング - 世界中がブラジルになった,BRA,Very Hard,ToA,ブラジルですべての州を支配する、,"元ネタはそのままミームの「BAD ENDING - THE WHOLE WORLD IS NOW BRAZIL」
さらに元をたどると「You're Going to Brazil(あなたはブラジルに行く)」という、穴に落ちる人物が「NOOO I DON’T WANNA GO TO BRAZIL NOOO STOP AHHH(やだ、ブラジルなんか行きたくない)」と発言する、ブラジルに行くことを嫌がるGIFミームが元ネタ。",,https://hoi4.paradoxwikis.com/Bad_Ending_-_The_whole_world_is_now_Brazil

A Land of Fire,火の土地,,Easy,ToA,国を問わず、ティエラ・デル・フエゴに核兵器を落とす。,"ティエラ・デル・フエゴとはスペイン語で「火の土地」を意味する。
ティエラ・デル・フエゴは南米の最南端にある。",チリやアルゼンチンなら簡単かつ迅速に。フォーカスツリーの軍事部門の研究ボーナスを活用し、早期に核兵器を入手せよ。チリでは制空権確保のため戦闘機が若干必要となる。アルゼンチンでは、まずWladychfa Gymreigを自由国として解放し、その後戦争目標を正当化すればよい。,

I'm Home!,ただいま!,BRA,Easy,ToA,ブラジルでポルトガルの中核州を占領する。,,このゲームは、君主制ルートでポルトガルを征服するか、共産主義またはファシズムのルートを進み、スペイン内戦の派閥の1つ（または複数）に宣戦布告してイベリア半島に足がかりを築き、降伏した際にポルトガルと国境を接する土地を奪うことから始めることができます。征服する場合は、スペインを占領してポルトガルの傀儡国家に与える方が、その土地に建設を進めやすく、自治権を下げやすくなるため、より簡単に進めることができます。,

Proactive Defense,積極的な防衛,BOL / CHL / COL / ECU / PEL / VEN / BRA / ARG / PAR / URG / Central American ,Hard,ToA,南米国家で共産化し、ワシントンDCを占領する。,実績画像はペンタゴンと呼ばれるアメリカ国防総省本庁舎。,,

The Merry Band,ザ・メリー・バンド,BRA,Hard,ToA,共産ブラジルでランピアォンを指導者にして、ノッティンガムを占領する。,"ノッティンガムはイギリス本土の「イースト・ミッドランズ」に存在する。
ランピアォンとはガンガソという山賊を率いる人物で義賊だと英雄視され、イギリスの伝説的な人物「ロビンフッド」と呼ばれることもあった。
ロビンフッドはイギリスのノッティンガムの森に住んでいたとされる。",,

Somehow He Has Returned,どういうわけか彼はが復活した,ARG,Very Easy,ToA,アルゼンチンの指導者をセニョール・ヒルテルにする。,"アルゼンチンでファシストルートに進みNF「国家警備隊」を達成、その後ドイツが敗北すると彼がやってくる。
なお条件はドイツが敗戦するだけなので、アルゼンチン自身でドイツに引導を渡しても来る。
さらにいえばドイツを傀儡国にしてもヒトラーが死んでるではないので、アルゼンチンのヒルテルとドイツのヒトラーが両立できたりもする。
元ネタはヒトラー生存説、実は生きておりアルゼンチンで再起を図っているというもの。
実績画像の元ネタは、スターウォーズの悪役パルパティーン皇帝。
エピソード6で死亡したと思われていた彼だがエピソード9で復活、ファンはどう生き残ったのかを楽しみにしていたが作中「どういうわけか彼はが復活した(Somehow Palpatine Returned)」と雑に片付けられミームと化した。",歴史的プレイをしてください。ファシスト路線を進み、グアルディア・ナシオナルを占領できるまでファシスト支持を集め、ドイツが降伏するまで待ちます。その後すぐにイベントが発生します。他の条件は必要ありません。あなた自身がドイツと戦争状態にあることも可能です。イベントの最初の選択肢はヒトラーを権力の座に就かせることなので、ずっと放置していても自動的に選択されるはずです。,

URSAL,ラテン・アメリカ社会主義連合,BOL / CHL / COL / ECU / PEL / VEN / BRA / ARG / PAR / URG,Hard,ToA,南米国家で共産化し、南米全土を所有する,"南米とはフォークランド諸島やキュラソーの植民地部分を含む。
URSALとはUnion of Socialist Republics of Latin Americaの頭文字。
元は米州自由貿易地域 (FTAA) を反対し左傾化する南米に対する皮肉であり存在しない政治概念であったのだが、極右により陰謀論に発展した。
ブームが去ったころに2018年のブラジル選挙で存在しないはずなのに再度取り上げられたことで再熱することなる。
実績画像にいるクマは「ケアベア」、子供が安心して成長し願いをかなえるために存在している。2018年の件でなぜか結びついてしまった。",,

Islas Malvinas,マルビナス諸島,ARG,Easy,ToA,アルゼンチンとしてフォークランド諸島とサウスジョージアを73日間連続占領する,"マルビナス諸島とはフォークランド諸島のスペイン語名義。
イギリスの間が領有するフォークランド諸島の領有を主張するアルゼンチンとの間で紛争が発生し、約73日間争いイギリスが勝利し現状維持となった。",注：この実績を達成するのに時間制限は必要ありません。武力で島を占領するか、和平交渉で島を奪取すると、自動的に解除されます。,

Lamento Boliviano,ボリビアの嘆き,ARG,Hard,ToA,アルゼンチンで、ボリビアの初期2州を除く南米全土を所有する,"南米とはフォークランド諸島やキュラソーの植民地部分を含む。
元ネタはアルゼンチンのロックバンド「Los Enanitos Verdes」の楽曲「LAMENTO BOLIVIANO」。
実績画像の泣いている赤ん坊の元ネタは同じく「LAMENTO BOLIVIANO」に使われている画像。",,https://hoi4.paradoxwikis.com/Lamento_Boliviano

Revenge for the triple alliance,三国同盟への復讐,PAR,Very Easy,ToA,パラグアイで同月内にアルゼンチン、ブラジル、ウルグアイに宣戦布告する。,1864年～1870年に発生したパラグアイ対アルゼンチン、ブラジル、ウルグアイのパラグアイ戦争が元ネタ。パラグアイの人口の半分が亡くなったとされる。 ,内戦を避け、共産主義に転向する。最初の約70の政治力を使って、ウルグアイに対する戦争目標を正当化する。これにはほぼ1年かかるはずだ。「三国同盟の影の下で」のフォーカスを取得して、ほぼ同時期に他の2つの戦争目標を取得する。すべての戦争目標を取得したら、単純に3カ国すべてに宣戦布告する。,

The Dragon Rises,ドラゴンは昇る,ARG,Hard,ToA,「ウェールズ・アルゼンチン」でウェールズを支配する。,"アルゼンチン南部にある、イ・ウラディクファ・ジムレイグ(ウェールズ語でウェールズ人植民地を意味する)を開放し移動、イギリスのウェールズを占領する。
アルゼンチン南部にウェールズ人移民が大勢いたことが元ネタ。",,https://hoi4.paradoxwikis.com/The_Dragon_Rises

King of What?,何の王だ?,CHL,Easy,ToA,ジャック・アントワーヌ・ベルナール(アントワーヌ3世)ををチリ国王に据え、パリを占領する。,元ネタはフランス人冒険家のオルリ・アントワーヌ・ド・トゥナンが南米に建国した「アラウカニア・パタゴニア王国」。,"内戦が勃発したら、領土ではなく師団を選択し、「ベテラン軍団兵の動員」フォーカスをできるだけ早く実行してください。アルゼンチンを攻撃する際は、戦争を終結させず、南部で少し攻勢をかけて敵に損害を与えてください。

第二次世界大戦が始まったら、フランスを攻撃して枢軸国に加わってください。ドイツが参加を許可しない場合は、セーブデータをロードすれば参加できるようになります。フランスが降伏したら、ドイツにパリの支配権を要求してください（アルゼンチンとの戦争で十分な戦勝点を得ているはずです）。それでも足りない場合は、アルゼンチンの占領地の一部をドイツに譲渡してみてください。",

True Condor Legion,真のコンドル軍団,BOL / CHL / COL / ECU / PEL / VEN,Very Easy,ToA,ベネズエラ、コロンビア、エクアドル、ペルー、ボリビア、チリのいずれかでドイツに義勇軍を派遣する。,元ネタはスペイン内戦においてドイツから国粋派に派遣された義勇軍のコンドル軍団。 ,ベネズエラやペルーのように、最初から権威主義的な政権を持つ国を選ぶと、物事を早く進めることができます。幅2の師団を大量生産して志願兵派遣の閾値（30）に達し、史実でドイツがポーランドを攻撃したら、志願兵を数人派遣するだけです。世界緊張度が低すぎる場合は、米国に対する宣戦布告を正当化して緊張度を急上昇させます。,

Chilean Empire,チリ帝国,CHL,Very Hard,ToA,北米、南米、アジアの太平洋に面するすべての州を支配する。,,,https://hoi4.paradoxwikis.com/Chilean_Empire

Reconquistadors,レコンキスタドール,ARG / CHL,Medium,ToA,アルゼンチンまたはチリで国民精神「コンキスタドールの精神」を保有した状態で、スペインの本土中核州を占領する。,"国民精神はチリではNF「ペドロ・デ・バルディビアの征服者たち」、アルゼンチンではNF「国家ファシスト運動」で手に入る。
コンキスタドールとはスペイン語で「征服者」を意味し新大陸を探検した者を指し、レコンキスタとはレコンキスタはスペイン語で「再征服」を意味する。","アルゼンチン：ファシスト路線を進み、「国民ファシスト連合」まで到達したら、産業と強力な軍隊を育成しましょう。イタリアから軍事通行権を取得するか、フォーカスを通じて枢軸国に加わるのも良いでしょう。いずれにせよ、スペイン内戦が終結し、軍隊の準備が整ったら、スペインに海軍侵攻を仕掛けましょう。スペイン軍は装備が乏しいものの、あなたが築いた橋頭堡を攻略しようと必死に抵抗してくるでしょう。これにより、スペイン軍は急速に装備不足に陥り、容易に制圧できます。

（軍事通行権を持つ国からのみ海軍侵攻を行う場合、まず自国から実際の目標地点まで海軍侵攻計画を策定する必要があります。例えば、ブエノスアイレスからサルデーニャ島まで海軍侵攻計画を策定すれば、サルデーニャ島から作戦を立案できるようになります。）",

